ID,Aov Category,Aov Score,Assigned To,Connected Percentage Score,Converted Percentage Score,Created On,Customer ID,Eligible For Ranking,Final Score,Is Active,Is Ftc,Is Live,Is Order Confimed,Is Order Confirmed By User,Is Substitable,Order ID,Order Value,Orderstatus,Org Subs ID,Rank Again After,Substitution Possible Score,Modified On,Cx Modified On
10116528,5,42.78,"2,986",1,1,,"2,630,437",true,42.78,false,false,true,,false,false,"16,735,504",959.66,39,,"Jun 22, 2025, 7:57 PM",1,"Feb 25, 2026, 1:34 PM","Feb 25, 2026, 1:34 PM"
10168226,5,88.46,"6,550",1,1,,"2,543,509",true,88.46,false,false,true,,false,false,"16,783,866","1,088.62",39,,"Jul 14, 2025, 1:56 PM",1,"Sep 18, 2025, 6:53 AM","Sep 18, 2025, 6:53 AM"
10248743,5,74.5,"5,551",1,1,,"3,212,318",true,74.5,false,false,false,,false,false,"16,858,917","1,190",312,,"Jul 12, 2025, 6:27 PM",1,"Aug 29, 2025, 10:22 AM","Aug 29, 2025, 10:20 AM"
19113476,4,51.9,"2,986",1.25,1,"Feb 1, 2025, 12:00 AM","1,300,807",true,129.75,false,false,false,,false,false,"25,360,614","1,597.24",312,,,2,"Feb 3, 2025, 3:16 PM","Feb 3, 2025, 3:16 PM"
19113478,5,30.5,"7,904",1,1,"Feb 1, 2025, 12:00 AM","10,638,126",true,30.5,false,false,false,,false,false,"25,360,618",875.12,39,,,1,"Feb 28, 2025, 11:59 AM","Feb 28, 2025, 11:59 AM"
19113486,5,21.34,"2,986",1.25,1,"Feb 1, 2025, 12:00 AM","7,846,199",true,53.35,false,false,false,,false,false,"25,360,624",987.12,39,,,2,"Feb 2, 2025, 11:54 AM","Feb 2, 2025, 11:54 AM"
19113495,4,91.47,"8,779",1.25,1,"Feb 1, 2025, 12:01 AM","5,229,403",false,114.34,false,false,false,,false,true,"23,505,217","2,839",312,,,1,"Feb 1, 2025, 12:44 PM","Feb 1, 2025, 10:17 AM"
19113496,5,60.77,"9,224",1,1,"Feb 1, 2025, 12:01 AM","10,330,826",false,60.77,false,false,false,,false,false,"25,360,634",897,312,,"Mar 2, 2025, 1:02 PM",1,"Mar 19, 2025, 1:18 PM","Mar 2, 2025, 1:11 AM"
19113513,5,39.24,"5,036",1.25,1,"Feb 1, 2025, 12:02 AM","3,653,189",true,98.1,false,false,false,,false,false,"25,360,652","1,216.87",39,,,2,"Feb 4, 2025, 3:58 PM","Feb 4, 2025, 3:58 PM"
19113521,1,465.12,"7,818",1.25,1,"Feb 1, 2025, 12:02 AM","6,936,422",true,"1,162.8",false,false,false,,false,false,"25,360,658","11,992.69",39,,,2,"Feb 1, 2025, 2:15 PM","Feb 1, 2025, 2:15 PM"
19113534,5,52.48,"9,160",1,1,"Feb 1, 2025, 12:02 AM","4,882,335",false,52.48,false,false,false,,false,false,"25,360,672","1,264.57",312,,"Feb 1, 2025, 2:36 PM",1,"Mar 8, 2025, 11:58 AM","Mar 7, 2025, 9:00 PM"
19113545,4,12.48,"6,136",1,1,"Feb 1, 2025, 12:03 AM","10,650,343",true,12.48,false,true,false,,false,false,"25,360,682","1,560",312,,,1,"May 23, 2025, 8:35 PM","May 23, 2025, 8:34 PM"
19113594,5,40.27,"7,819",1.25,1,,"3,529,824",true,100.68,false,false,false,,false,false,"25,360,731","1,177",39,,,2,"Feb 2, 2025, 11:12 AM","Feb 2, 2025, 11:12 AM"
19113646,5,64.59,"8,682",1,1,"Feb 1, 2025, 12:08 AM","1,489,818",true,64.59,false,false,true,,false,false,"24,950,979","1,080.24",39,,"Feb 16, 2025, 3:30 PM",1,"Mar 23, 2025, 8:47 AM","Mar 23, 2025, 8:47 AM"
19113648,3,98.28,"7,818",1.25,1,"Feb 1, 2025, 12:08 AM","794,621",true,245.7,false,false,false,,false,false,"25,360,780","4,604",312,,,2,"Feb 1, 2025, 11:07 AM","Feb 1, 2025, 11:06 AM"
19113661,5,41.11,"8,680",1,1,,"10,069,838",true,41.11,false,false,false,,false,false,"25,360,792",815.08,39,,,1,"May 19, 2025, 8:32 AM","May 19, 2025, 8:32 AM"
19113670,5,31.1,"7,874",1.25,1,,"9,534,284",true,77.75,false,false,false,,false,false,"25,360,799","1,180",39,,,2,"Feb 9, 2025, 12:36 PM","Feb 9, 2025, 12:36 PM"
19113686,3,263.4,"9,225",1,1,"Feb 1, 2025, 12:10 AM","135,373",false,263.4,false,true,true,,false,false,"9,077,417","1,969.26",49,,,1,"Jul 1, 2025, 7:44 PM","Jul 1, 2025, 7:14 PM"
